Calories,Proteins,Fat,Carbohydrate,Name
81.0,16.5,0.3,3.0,Udang galah segar
91.0,21.0,0.2,0.1,Udang segar
120.0,2.8,0.5,82.3,Umbi Uwi segar
34.0,2.4,0.3,5.5,Umbut rotan
130.0,14.0,7.2,1.5,Usus Sapi
101.0,2.0,0.2,19.8,Uwi
363.0,8.7,0.4,78.7,Vermicelli
303.0,6.3,2.7,63.3,Wajit camilan
45.0,0.8,0.9,8.1,Waluh balamak
424.0,1.3,10.7,80.7,Widaran
355.0,3.2,15.1,51.4,Wingko babat
143.0,3.1,7.8,15.0,Woku ubi
42.0,1.2,0.6,9.3,Wortel Segar
37.0,1.0,0.6,8.3,Wortel kukus
28.0,0.7,0.5,6.3,Wortel rebus
254.0,3.0,1.1,58.1,Yangko
52.0,3.3,2.5,4.0,Yoghurt
